Algoritmo;Dimensione (n);Funzione hash;Tempo di esecuzione
KMH;128;97;763997
KMH;128;98;769668
KMH;128;99;765163
KMH;128;100;761873
KMH;256;1;779842
KMH;256;2;773882
KMH;256;3;778122
KMH;256;4;772931
KMH;256;5;770180
KMH;256;6;776802
KMH;256;7;783345
KMH;256;8;782748
KMH;256;9;779079
KMH;256;10;773796
KMH;256;11;778734
KMH;256;12;782634
KMH;256;13;782688
KMH;256;14;773562
KMH;256;15;786729
KMH;256;16;786661
KMH;256;17;778283
KMH;256;18;784745
KMH;256;19;777395
KMH;256;20;778646
KMH;256;21;774607
KMH;256;22;774275
KMH;256;23;775377
KMH;256;24;769731
KMH;256;25;774202
KMH;256;26;782937
KMH;256;27;824603
KMH;256;28;782611
KMH;256;29;807718
KMH;256;30;872382
KMH;256;31;791755
KMH;256;32;779329
KMH;256;33;828737
KMH;256;34;776109
KMH;256;35;771574
KMH;256;36;770451
KMH;256;37;771717
KMH;256;38;773333
KMH;256;39;769959
KMH;256;40;770654
KMH;256;41;802739
KMH;256;42;858654
KMH;256;43;788007
KMH;256;44;793227
KMH;256;45;831211
KMH;256;46;781692
KMH;256;47;773606
KMH;256;48;771658
KMH;256;49;773137
KMH;256;50;826991
KMH;256;51;816511
KMH;256;52;881171
KMH;256;53;781614
KMH;256;54;783983
KMH;256;55;802126
KMH;256;56;783306
KMH;256;57;784514
KMH;256;58;772760
KMH;256;59;784300
KMH;256;60;784174
KMH;256;61;795299
KMH;256;62;775171
KMH;256;63;783312
KMH;256;64;774417
KMH;256;65;778980
KMH;256;66;789750
KMH;256;67;780707
KMH;256;68;795734
KMH;256;69;800818
KMH;256;70;781897
KMH;256;71;801877
KMH;256;72;798144
KMH;256;73;782608
KMH;256;74;771149
KMH;256;75;778013
KMH;256;76;775378
KMH;256;77;782448
KMH;256;78;780522
KMH;256;79;776471
KMH;256;80;785605
KMH;256;81;777777
KMH;256;82;777039
KMH;256;83;782494
KMH;256;84;783794
KMH;256;85;781720
KMH;256;86;770261
KMH;256;87;770222
KMH;256;88;779825
KMH;256;89;787082
KMH;256;90;784933
KMH;256;91;791679
KMH;256;92;784558
KMH;256;93;832348
KMH;256;94;772472
KMH;256;95;773143
KMH;256;96;770060
KMH;256;97;777289
KMH;256;98;784652
KMH;256;99;810990
KMH;256;100;778389
KMH;512;1;798068
KMH;512;2;806515
KMH;512;3;795881
KMH;512;4;796210
KMH;512;5;812621
KMH;512;6;797020
KMH;512;7;805062
KMH;512;8;798967
KMH;512;9;792674
KMH;512;10;795805
KMH;512;11;795598
KMH;512;12;794319
KMH;512;13;801228
KMH;512;14;805834
KMH;512;15;802607
KMH;512;16;795599
KMH;512;17;792540
KMH;512;18;798133
KMH;512;19;792459
KMH;512;20;794464
KMH;512;21;805949
KMH;512;22;865626
KMH;512;23;810562
KMH;512;24;807229
KMH;512;25;808204
KMH;512;26;806457
KMH;512;27;803190
KMH;512;28;804110
KMH;512;29;805042
KMH;512;30;1.02121e+06
KMH;512;31;816082
KMH;512;32;820807
KMH;512;33;795408
KMH;512;34;798936
KMH;512;35;801713
KMH;512;36;812311
KMH;512;37;793987
KMH;512;38;798747
KMH;512;39;807420
KMH;512;40;808304
KMH;512;41;803043
KMH;512;42;800467
KMH;512;43;797159
