Algoritmo;K;Jaccard_reale;Ripetizione;Jaccard_stimata
KMH;16;0.39906;22;0.125
KMH;16;0.39906;23;0.125
KMH;16;0.39906;24;0.1875
KMH;16;0.39906;25;0.25
KMH;16;0.39906;26;0.1875
KMH;16;0.39906;27;0.25
KMH;16;0.39906;28;0.25
KMH;16;0.39906;29;0.25
KMH;16;0.39906;30;0.25
KMH;16;0.39906;31;0.25
KMH;16;0.39906;32;0.3125
KMH;16;0.39906;33;0.3125
KMH;16;0.39906;34;0.375
KMH;16;0.39906;35;0.375
KMH;16;0.39906;36;0.375
KMH;16;0.39906;37;0.4375
KMH;16;0.39906;38;0.5
KMH;16;0.39906;39;0.4375
KMH;16;0.39906;40;0.4375
KMH;16;0.39906;41;0.4375
KMH;16;0.39906;42;0.4375
KMH;16;0.39906;43;0.375
KMH;16;0.39906;44;0.375
KMH;16;0.39906;45;0.4375
KMH;16;0.39906;46;0.4375
KMH;16;0.39906;47;0.4375
KMH;16;0.39906;48;0.4375
KMH;16;0.39906;49;0.4375
KMH;16;0.39906;50;0.375
KMH;16;0.39906;51;0.375
KMH;16;0.39906;52;0.4375
KMH;16;0.39906;53;0.4375
KMH;16;0.39906;54;0.375
KMH;16;0.39906;55;0.375
KMH;16;0.39906;56;0.375
KMH;16;0.39906;57;0.3125
KMH;16;0.39906;58;0.3125
KMH;16;0.39906;59;0.3125
KMH;16;0.39906;60;0.375
KMH;16;0.39906;61;0.3125
KMH;16;0.39906;62;0.375
KMH;16;0.39906;63;0.375
KMH;16;0.39906;64;0.3125
KMH;16;0.39906;65;0.375
KMH;16;0.39906;66;0.375
KMH;16;0.39906;67;0.4375
KMH;16;0.39906;68;0.4375
KMH;16;0.39906;69;0.4375
KMH;16;0.39906;70;0.5
KMH;16;0.39906;71;0.5625
KMH;16;0.39906;72;0.5625
KMH;16;0.39906;73;0.625
KMH;16;0.39906;74;0.625
KMH;16;0.39906;75;0.6875
KMH;16;0.39906;76;0.6875
KMH;16;0.39906;77;0.75
KMH;16;0.39906;78;0.6875
KMH;16;0.39906;79;0.6875
KMH;16;0.39906;80;0.6875
KMH;16;0.39906;81;0.6875
KMH;16;0.39906;82;0.6875
KMH;16;0.39906;83;0.6875
KMH;16;0.39906;84;0.6875
KMH;16;0.39906;85;0.625
KMH;16;0.39906;86;0.5625
KMH;16;0.39906;87;0.5625
KMH;16;0.39906;88;0.5
KMH;16;0.39906;89;0.5
KMH;16;0.39906;90;0.5
KMH;16;0.39906;91;0.4375
KMH;16;0.39906;92;0.375
KMH;16;0.39906;93;0.3125
KMH;16;0.39906;94;0.375
KMH;16;0.39906;95;0.375
KMH;16;0.39906;96;0.4375
KMH;16;0.39906;97;0.375
KMH;16;0.39906;98;0.4375
KMH;16;0.39906;99;0.4375
KMH;16;0.39906;100;0.375
KMH;16;0.5015;1;0.5625
KMH;16;0.5015;2;0.5625
KMH;16;0.5015;3;0.5
KMH;16;0.5015;4;0.5625
KMH;16;0.5015;5;0.5
KMH;16;0.5015;6;0.5
KMH;16;0.5015;7;0.5625
KMH;16;0.5015;8;0.5
KMH;16;0.5015;9;0.5
KMH;16;0.5015;10;0.4375
KMH;16;0.5015;11;0.5
KMH;16;0.5015;12;0.5625
KMH;16;0.5015;13;0.5
KMH;16;0.5015;14;0.5
KMH;16;0.5015;15;0.5625
KMH;16;0.5015;16;0.5625
KMH;16;0.5015;17;0.625
KMH;16;0.5015;18;0.625
KMH;16;0.5015;19;0.625
KMH;16;0.5015;20;0.625
KMH;16;0.5015;21;0.6875
KMH;16;0.5015;22;0.6875
KMH;16;0.5015;23;0.625
KMH;16;0.5015;24;0.625
KMH;16;0.5015;25;0.5625
KMH;16;0.5015;26;0.625
KMH;16;0.5015;27;0.625
KMH;16;0.5015;28;0.5625
KMH;16;0.5015;29;0.625
KMH;16;0.5015;30;0.625
KMH;16;0.5015;31;0.5625
KMH;16;0.5015;32;0.5
KMH;16;0.5015;33;0.4375
KMH;16;0.5015;34;0.375
KMH;16;0.5015;35;0.4375
KMH;16;0.5015;36;0.375
KMH;16;0.5015;37;0.3125
KMH;16;0.5015;38;0.3125
KMH;16;0.5015;39;0.3125
KMH;16;0.5015;40;0.3125
KMH;16;0.5015;41;0.3125
KMH;16;0.5015;42;0.25
KMH;16;0.5015;43;0.1875
KMH;16;0.5015;44;0.1875
KMH;16;0.5015;45;0.1875
KMH;16;0.5015;46;0.25
KMH;16;0.5015;47;0.25
KMH;16;0.5015;48;0.25
KMH;16;0.5015;49;0.25
KMH;16;0.5015;50;0.25
KMH;16;0.5015;51;0.1875
KMH;16;0.5015;52;0.25
KMH;16;0.5015;53;0.25
KMH;16;0.5015;54;0.25
KMH;16;0.5015;55;0.25
KMH;16;0.5015;56;0.25
KMH;16;0.5015;57;0.25
KMH;16;0.5015;58;0.25
KMH;16;0.5015;59;0.3125
KMH;16;0.5015;60;0.3125
KMH;16;0.5015;61;0.3125
KMH;16;0.5015;62;0.25
KMH;16;0.5015;63;0.3125
KMH;16;0.5015;64;0.375
KMH;16;0.5015;65;0.4375
KMH;16;0.5015;66;0.5
KMH;16;0.5015;67;0.5
KMH;16;0.5015;68;0.4375
KMH;16;0.5015;69;0.5
KMH;16;0.5015;70;0.5
KMH;16;0.5015;71;0.5625
KMH;16;0.5015;72;0.5625
KMH;16;0.5015;73;0.625
KMH;16;0.5015;74;0.625
KMH;16;0.5015;75;0.625
KMH;16;0.5015;76;0.6875
KMH;16;0.5015;77;0.625
KMH;16;0.5015;78;0.6875
KMH;16;0.5015;79;0.625
KMH;16;0.5015;80;0.5625
KMH;16;0.5015;81;0.5
KMH;16;0.5015;82;0.4375
KMH;16;0.5015;83;0.5
KMH;16;0.5015;84;0.5625
KMH;16;0.5015;85;0.5625
KMH;16;0.5015;86;0.5625
KMH;16;0.5015;87;0.5625
KMH;16;0.5015;88;0.625
KMH;16;0.5015;89;0.625
KMH;16;0.5015;90;0.625
KMH;16;0.5015;91;0.5625
KMH;16;0.5015;92;0.5
KMH;16;0.5015;93;0.5625
KMH;16;0.5015;94;0.5
KMH;16;0.5015;95;0.5625
KMH;16;0.5015;96;0.5625
KMH;16;0.5015;97;0.625
KMH;16;0.5015;98;0.625
KMH;16;0.5015;99;0.5625
KMH;16;0.5015;100;0.5
KMH;16;0.5989;1;0.6875
KMH;16;0.5989;2;0.625
KMH;16;0.5989;3;0.625
KMH;16;0.5989;4;0.5625
KMH;16;0.5989;5;0.5
KMH;16;0.5989;6;0.5
KMH;16;0.5989;7;0.5
KMH;16;0.5989;8;0.5625
KMH;16;0.5989;9;0.625
KMH;16;0.5989;10;0.625
KMH;16;0.5989;11;0.625
KMH;16;0.5989;12;0.5625
KMH;16;0.5989;13;0.5625
KMH;16;0.5989;14;0.5625
KMH;16;0.5989;15;0.5625
KMH;16;0.5989;16;0.625
KMH;16;0.5989;17;0.5625
KMH;16;0.5989;18;0.5625
KMH;16;0.5989;19;0.625
KMH;16;0.5989;20;0.625
KMH;16;0.5989;21;0.6875
KMH;16;0.5989;22;0.625
KMH;16;0.5989;23;0.625
KMH;16;0.5989;24;0.5625
KMH;16;0.5989;25;0.5
KMH;16;0.5989;26;0.5
KMH;16;0.5989;27;0.4375
KMH;16;0.5989;28;0.5
KMH;16;0.5989;29;0.5
KMH;16;0.5989;30;0.5625
KMH;16;0.5989;31;0.5625
KMH;16;0.5989;32;0.5625
KMH;16;0.5989;33;0.625
KMH;16;0.5989;34;0.625
KMH;16;0.5989;35;0.625
KMH;16;0.5989;36;0.6875
KMH;16;0.5989;37;0.625
KMH;16;0.5989;38;0.6875
KMH;16;0.5989;39;0.6875
KMH;16;0.5989;40;0.75
KMH;16;0.5989;41;0.75
KMH;16;0.5989;42;0.6875
KMH;16;0.5989;43;0.75
KMH;16;0.5989;44;0.6875
KMH;16;0.5989;45;0.625
KMH;16;0.5989;46;0.625
KMH;16;0.5989;47;0.5625
KMH;16;0.5989;48;0.5625
KMH;16;0.5989;49;0.5625
KMH;16;0.5989;50;0.625
KMH;16;0.5989;51;0.5625
KMH;16;0.5989;52;0.5625
KMH;16;0.5989;53;0.5625
KMH;16;0.5989;54;0.5625
KMH;16;0.5989;55;0.5
KMH;16;0.5989;56;0.5
KMH;16;0.5989;57;0.5625
KMH;16;0.5989;58;0.5625
KMH;16;0.5989;59;0.5625
KMH;16;0.5989;60;0.625
KMH;16;0.5989;61;0.625
KMH;16;0.5989;62;0.625
KMH;16;0.5989;63;0.6875
KMH;16;0.5989;64;0.625
KMH;16;0.5989;65;0.625
KMH;16;0.5989;66;0.5625
KMH;16;0.5989;67;0.5625
KMH;16;0.5989;68;0.5625
KMH;16;0.5989;69;0.625
KMH;16;0.5989;70;0.5625
KMH;16;0.5989;71;0.5625
KMH;16;0.5989;72;0.5625
KMH;16;0.5989;73;0.5625
KMH;16;0.5989;74;0.5625
KMH;16;0.5989;75;0.5
KMH;16;0.5989;76;0.5
KMH;16;0.5989;77;0.5625
KMH;16;0.5989;78;0.5625
KMH;16;0.5989;79;0.5625
KMH;16;0.5989;80;0.625
KMH;16;0.5989;81;0.625
KMH;16;0.5989;82;0.6875
KMH;16;0.5989;83;0.6875
KMH;16;0.5989;84;0.6875
KMH;16;0.5989;85;0.6875
KMH;16;0.5989;86;0.75
KMH;16;0.5989;87;0.8125
KMH;16;0.5989;88;0.75
KMH;16;0.5989;89;0.6875
KMH;16;0.5989;90;0.6875
KMH;16;0.5989;91;0.6875
KMH;16;0.5989;92;0.6875
KMH;16;0.5989;93;0.6875
KMH;16;0.5989;94;0.625
KMH;16;0.5989;95;0.625
KMH;16;0.5989;96;0.5625
KMH;16;0.5989;97;0.5625
KMH;16;0.5989;98;0.5625
KMH;16;0.5989;99;0.5625
KMH;16;0.5989;100;0.5625
KMH;16;0.69906;1;0.625
KMH;16;0.69906;2;0.625
KMH;16;0.69906;3;0.6875
KMH;16;0.69906;4;0.625
KMH;16;0.69906;5;0.625
KMH;16;0.69906;6;0.6875
KMH;16;0.69906;7;0.6875
KMH;16;0.69906;8;0.75
KMH;16;0.69906;9;0.75
KMH;16;0.69906;10;0.8125
KMH;16;0.69906;11;0.75
KMH;16;0.69906;12;0.75
KMH;16;0.69906;13;0.75
KMH;16;0.69906;14;0.6875
KMH;16;0.69906;15;0.75
KMH;16;0.69906;16;0.6875
KMH;16;0.69906;17;0.625
KMH;16;0.69906;18;0.6875
KMH;16;0.69906;19;0.6875
KMH;16;0.69906;20;0.75
KMH;16;0.69906;21;0.6875
KMH;16;0.69906;22;0.6875
KMH;16;0.69906;23;0.6875
KMH;16;0.69906;24;0.6875
KMH;16;0.69906;25;0.625
KMH;16;0.69906;26;0.625
KMH;16;0.69906;27;0.625
KMH;16;0.69906;28;0.625
KMH;16;0.69906;29;0.625
KMH;16;0.69906;30;0.6875
KMH;16;0.69906;31;0.625
KMH;16;0.69906;32;0.6875
KMH;16;0.69906;33;0.75
KMH;16;0.69906;34;0.75
KMH;16;0.69906;35;0.75
KMH;16;0.69906;36;0.75
KMH;16;0.69906;37;0.8125
KMH;16;0.69906;38;0.75
KMH;16;0.69906;39;0.75
KMH;16;0.69906;40;0.75
KMH;16;0.69906;41;0.75
KMH;16;0.69906;42;0.6875
KMH;16;0.69906;43;0.75
KMH;16;0.69906;44;0.6875
KMH;16;0.69906;45;0.6875
KMH;16;0.69906;46;0.625
KMH;16;0.69906;47;0.625
KMH;16;0.69906;48;0.625
KMH;16;0.69906;49;0.625
KMH;16;0.69906;50;0.625
KMH;16;0.69906;51;0.625
KMH;16;0.69906;52;0.625
KMH;16;0.69906;53;0.5625
